manufacturer_id,manufacturer,brand,item_id,item_name,item_type,contact_name,contact_email,year_of_start,production_capacity_lit,ownership_type,certifictaion_status,address,city,county,zipcode,Arizona,country,latitude,longitude
MNFR0012,Luxco,Luxco,100037,Pearl Vodka ,gin,Patricia Smith,patricia.smith.manufacture@gmail.com,1992,55968,Community-Owned Distillery,certified,152 Linden campe,Dayton,Los Angeles,8601,Ohio,united states,50.97156308,0.50185349
MNFR0015,Patron Spirits Company,Patron,100044,Patron Tequila ,whisky,Julia Jones,julia.jones.manufacture@gmail.com,1988,70720,Private Equity-Owned Distillery,certified,188 Cherry Yew,Queens,Allegheny,7101,New York,united states,-42.81067312,143.1680458
MNFR0016,Mast-Spirits Limited,Mast,100046,Jägermeister ,congnac,Tina Hughes,tina.hughes.manufacture@gmail.com,2002,96123,State-Owned Distillery,certified,81 Ash Yew,Paterson,Hennepin,15201,New Jersey,united states,42.66901126,-123.9366159
MNFR0019,Remy Martin,Remy,100049,Louis XIII ,vodka,Vanessa George,vanessa.george.manufacture@gmail.com,2002,96332,Corporate-Owned Distillery,certified,83 Sycamore Mulberry,Jhonson city,St. Louis,48201,Tennessee,united states,50.3156185,-4.105077791
MNFR0020,Don Julio,Don,100050,Don Julio ,gin,Jacob Cochran,jacob.cochran.manufacture@gmail.com,2002,85650,Independent Distillery,certified,27 Cypress Yew,Dallas,Essex,73301,Texas,united states,54.85956209,-66.07623713
MNFR0021,Angostura Holdings,Angostura,100051,Angostura ,beer,Cynthia Chaney,cynthia.chaney.manufacture@gmail.com,2005,57634,State-Owned Distillery,certified,179 Cottonwood Main,Fresno,Fulton,38101,California,united states,57.54898351,-2.871667117
MNFR0022,Proximo Spirits,Proximo,100053,1800 Tequila ,gin,Kara Carter,kara.carter.manufacture@gmail.com,2006,69408,Private Equity-Owned Distillery,certified,84 Oak campe,Mesa,Fulton,55401,Arizona,united states,35.43567908,-85.76941419
MNFR0023,The Macallan,Macallan,100054,The Macallan Sherry Oak ,rum,Daniel Ibarra,daniel.ibarra.manufacture@gmail.com,2005,65466,Independent Distillery,certified,80 Yew Dogwood,Durham,Kings,10001,North Carolina,united states,-16.4293687,143.7665492
MNFR0024,Bushmills spirits Limited,Bushmills,100056,Bushmills ,whisky,John Johnson,john.johnson.manufacture@gmail.com,1988,81783,Contract Distillery,certified,46 Cedar Main,Spokane,Essex,55101,Washington,united states,41.79684283,-96.2937771
MNFR0028,Black Velvet spirits Limited,Black,100060,Black Velvet ,beer,Michael King,michael.king.manufacture@gmail.com,1973,74660,Contract Distillery,certified,54 Walnut Mulberry,Traverse City,Wayne,37201,Michigan,united states,52.4746893,-4.065319782
MNFR0029,Templeton Rye spirits Limited,Templeton,100061,Templeton Rye ,wine,Jonathon Brewer,jonathon.brewer.manufacture@gmail.com,1988,67901,Cooperative Distillery,certified,68 Fir st,Tallahassee,Wayne,85001,Florida,united states,51.49503547,-4.657637436
MNFR0030,Laphroaig spirits Limited,Laphroaig,100062,Laphroaig ,liqueur,Edward Davis,edward.davis.manufacture@gmail.com,1981,97885,Corporate-Owned Distillery,certified,59 Juniper Mulberry,Toledo,Kings,80201,Ohio,united states,61.24392574,-135.498706
MNFR0032,Boodles Gin spirits Limited,Boodles,100064,Boodles Gin ,rum,Angela Martin,angela.martin.manufacture@gmail.com,2008,88138,State-Owned Distillery,certified,41 Elm campe,Rochester,Denver,53201,New York,united states,-36.34079871,130.8178925
MNFR0033,Aviation Gin spirits Limited,Aviation,100065,Aviation Gin ,vodka,Patrick King,patrick.king.manufacture@gmail.com,2006,97355,Private Equity-Owned Distillery,certified,97 Catalpa Dogwood,Trenton,Mecklenburg,64101,New Jersey,united states,28.520454,-97.86079001
MNFR0036,Plymouth Gin spirits Limited,Plymouth,100068,Plymouth Gin ,whisky,Kaitlyn Rodriguez,kaitlyn.rodriguez.manufacture@gmail.com,2002,58660,Contract Distillery,certified,26 Cottonwood Mulberry,Gallatin,Essex,53201,Tennessee,united states,-42.99027683,135.0717854
MNFR0037,Tanqueray spirits Limited,Tanqueray,100069,Tanqueray ,gin,Phillip Hayes,phillip.hayes.manufacture@gmail.com,2002,61909,Corporate-Owned Distillery,certified,113 Catalpa Main,Dallas,Kings,80901,Texas,united states,50.16762607,-6.072347463
MNFR0039,Beefeater spirits Limited,Beefeater,100071,Beefeater ,rum,Jeremiah Day,jeremiah.day.manufacture@gmail.com,1973,62337,Contract Distillery,certified,62 Cypress st,Oakland,Cook,80901,California,united states,58.90178973,1.404272156
MNFR0041,Seagram's spirits Limited,Seagram,100073,Seagram's Gin ,vodka,Stephen Salazar,stephen.salazar.manufacture@gmail.com,1981,96689,State-Owned Distillery,certified,33 Sycamore Elm,Mesa,Fulton,98101,Arizona,united states,74.54578955,-110.323887
MNFR0042,Gordon's spirits Limited,Gordon,100074,Gordon's Gin ,liqueur,Maria Parker,maria.parker.manufacture@gmail.com,2005,72312,Cooperative Distillery,certified,191 Spruce Dogwood,Wilmington,Kings,90001,North Carolina,united states,-15.39383914,146.6902553
MNFR0047,Grey Goose spirits Limited,Grey,100079,Grey Goose ,liqueur,Anthony Smith,anthony.smith.manufacture@gmail.com,2008,75714,Corporate-Owned Distillery,certified,83 Vine Dogwood,Yakima,Los Angeles,10001,Washington,united states,52.49807048,-4.413854087
MNFR0048,Ketel One spirits Limited,Ketel,100080,Ketel One ,rum,Anthony Washington,anthony.washington.manufacture@gmail.com,2008,68936,Cooperative Distillery,certified,95 Locust Elm,Detroit,Milwaukee,10001,Michigan,united states,54.03299942,-105.2703911
MNFR0049,Ciroc spirits Limited,Ciroc,100081,Ciroc spy,rum,Brittany Brown,brittany.brown.manufacture@gmail.com,1979,56692,Craft Distillery,certified,166 Zelkova Elm,Destin,King,7101,Florida,united states,83.53362649,-92.37213159
MNFR0050,Wynor Group Spirits,Wynor,100082,Wynor anejo,vodka,Vanessa Cochran,vanessa.cochran.manufacture@gmail.com,1981,57006,Independent Distillery,certified,97 Ash Main,Columbus,Wayne,33101,Ohio,united states,57.81574831,-5.36094226
